Web Exception :

Need To Fix Count : 249
Report
Checked	NO	Method	TestDescription	RequestBody	Your Response	CorrectResponse
Checked	Sports-4-1	GetBalance	Get-balance-before-rollback	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","ProductType":1,"GameType":1,"Gpid":-1}	{"AccountName":"swrun_1780089828793_831710","Balance":"500.00","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be:
Checked	Sports-4-2	GetBetStatus	Check-bet-status-should-be-void	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C", "Username":"SWRUN_1780089828793_831710", "TransferCode":"875476","TransactionId":"875476","ProductType":1,"GameType":1,"Gpid":-1}	{"TransferCode":"875476","TransactionId":"875476","Status":"Void","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, TransferCode: 875476, TransactionId: 875476, Status: Void
Checked	Sports-4-3	Rollback	1st-time-rollback-should-be-success	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","TransferCode":"875476","ProductType":1,"GameType":1,"Gpid":-1,"ExtraInfo":{"sportType":"Soccer","marketType":"First_Half_C_S","league":"SWTest-LeaguaName","match":"SWTest-HomeTeam vs SWTest-AwayTeam","betOption":"0:1","kickoffTime":"2026-05-29T17:41:15","isHalfWonLose":false}}	{"AccountName":"swrun_1780089828793_831710","Balance":490,"ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, AccountName: SWRUN_1780089828793_831710, Balance: 490.00
Checked	Sports-4-4	GetBalance	Get-balance-again-should-different-balance	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","ProductType":1,"GameType":1,"Gpid":-1}	{"AccountName":"swrun_1780089828793_831710","Balance":"490.00","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, AccountName: SWRUN_1780089828793_831710, Balance: 490.00
Need to fix !	Sports-4-5	GetBetStatus	Get-bet-status-again-should-running	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C", "Username":"SWRUN_1780089828793_831710", "TransferCode":"875476","TransactionId":"875476","ProductType":1,"GameType":1,"Gpid":-1}	{"TransferCode":"875476","TransactionId":"875476","Status":"Settled","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, TransferCode: 875476, TransactionId: 875476, Status: Running
Need to fix !	Sports-4-6	Rollback	2nd-time-rollback-should-be-failed	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","TransferCode":"875476","ProductType":1,"GameType":1,"Gpid":-1,"ExtraInfo":{"sportType":"Soccer","marketType":"Handicap","league":"SWTest-LeaguaName","match":"SWTest-HomeTeam vs SWTest-AwayTeam","betOption":"HomeTeam","kickoffTime":"2026-05-29T17:41:15","isHalfWonLose":false}}	{"AccountName":"swrun_1780089828793_831710","Balance":490,"ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 2003
Checked	Sports-4-7	GetBalance	Get-balance-again-should-same-balance	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","ProductType":1,"GameType":1,"Gpid":-1}	{"AccountName":"swrun_1780089828793_831710","Balance":"490.00","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, AccountName: SWRUN_1780089828793_831710, Balance: 490.00
Need to fix !	Sports-4-8	GetBetStatus	Get-bet-status-again-should-running	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C", "Username":"SWRUN_1780089828793_831710", "TransferCode":"875476","TransactionId":"875476","ProductType":1,"GameType":1,"Gpid":-1}	{"TransferCode":"875476","TransactionId":"875476","Status":"Settled","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, TransferCode: 875476, TransactionId: 875476, Status: Running
Checked	Sports-4-9	Settle	Settle-after-rollback-should-be-success	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","TransferCode":"875476","WinLoss":30.0,"ResultType":0,"ResultTime":"2026-05-29T17:41:22.89829-04:00","ProductType":1,"GameType":1,"GameResult":null,"CommissionStake":0,"Gpid":-1,"IsCashOut":false,"ExtraInfo":{"sportType":"Soccer","marketType":"Handicap","league":"SWTest-LeaguaName","match":"SWTest-HomeTeam vs SWTest-AwayTeam","betOption":"HomeTeam","kickoffTime":"2026-05-29T17:41:15","isHalfWonLose":true}}	{"AccountName":"swrun_1780089828793_831710","Balance":520,"ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0
Checked	Sports-4-10	GetBalance	Get-balance-again-should-different-balance	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","ProductType":1,"GameType":1,"Gpid":-1}	{"AccountName":"swrun_1780089828793_831710","Balance":"520.00","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, AccountName: SWRUN_1780089828793_831710, Balance: 520.00
Checked	Sports-4-11	GetBetStatus	Get-bet-status-again-should-Settled	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C", "Username":"SWRUN_1780089828793_831710", "TransferCode":"875476","TransactionId":"875476","ProductType":1,"GameType":1,"Gpid":-1}	{"TransferCode":"875476","TransactionId":"875476","Status":"Settled","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, TransferCode: 875476, TransactionId: 875476, Status: Settled
Checked	Sports-5-1	GetBetStatus	Get-bet-status-should-not-exist	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C", "Username":"SWRUN_1780089828793_831710", "TransferCode":"8754765","TransactionId":"8754765","ProductType":1,"GameType":1,"Gpid":-1}	{"TransferCode":"8754765","TransactionId":"8754765","Status":"Unknown","ErrorCode":"6","ErrorMessage":"Bet not found"}	Values should be: ErrorCode: 6
Need to fix !	Sports-5-2	Deduct	1st-time-deduct-should-be-success	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","Amount":10.0,"TransferCode":"8754765","TransactionId":"8754765","BetTime":"2026-05-29T17:41:23.89829-04:00","ProductType":1,"GameType":1,"GameRoundId":null,"GamePeriodId":null,"OrderDetail":null,"PlayerIp":null,"GameTypeName":null,"Gpid": -1,"GameId": 0,"ExtraInfo":{"sportType":"Soccer","marketType":"Handicap","league":"SWTest-LeaguaName","match":"SWTest-HomeTeam vs SWTest-AwayTeam","betOption":"HomeTeam","kickoffTime":"2026-05-29T17:41:15","isHalfWonLose":false}}	{"AccountName":"swrun_1780089828793_831710","Balance":480,"ErrorCode":"0","ErrorMessage":"No Error","BetAmount":"10.0"}	Values should be: ErrorCode: 0, AccountName: SWRUN_1780089828793_831710, BetAmount: 10.0, Balance: 510.00
Need to fix !	Sports-5-3	GetBalance	Get-balance-again-should-different-balance	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","ProductType":1,"GameType":1,"Gpid":-1}	{"AccountName":"swrun_1780089828793_831710","Balance":"480.00","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, AccountName: SWRUN_1780089828793_831710, Balance: 510.00
Need to fix !	Sports-5-4	Cancel	1st-time-cancel-should-be-success	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","TransferCode":"8754765","ProductType":1,"GameType":1,"IsCancelAll":true,"TransactionId":"8754765","Gpid":-1,"ExtraInfo":{"sportType":"Soccer","marketType":"First_Half_C_S","league":"SWTest-LeaguaName","match":"SWTest-HomeTeam vs SWTest-AwayTeam","betOption":"0:1","kickoffTime":"2026-05-29T17:41:15","isHalfWonLose":false}}	{"AccountName":"swrun_1780089828793_831710","Balance":490,"ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, AccountName: SWRUN_1780089828793_831710, Balance: 520.00
Need to fix !	Sports-5-5	GetBalance	Get-balance-again-should-different-balance	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","ProductType":1,"GameType":1,"Gpid":-1}	{"AccountName":"swrun_1780089828793_831710","Balance":"490.00","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, AccountName: SWRUN_1780089828793_831710, Balance: 520.00
Checked	Sports-5-6	GetBetStatus	Get-bet-status-again-should-void	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C", "Username":"SWRUN_1780089828793_831710", "TransferCode":"8754765","TransactionId":"8754765","ProductType":1,"GameType":1,"Gpid":-1}	{"TransferCode":"8754765","TransactionId":"8754765","Status":"Void","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, TransferCode: 8754765, TransactionId: 8754765, Status: Void
Checked	Sports-6-1	GetBetStatus	Get-bet-status-should-not-exist	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C", "Username":"SWRUN_1780089828793_831710", "TransferCode":"8754766","TransactionId":"8754766","ProductType":1,"GameType":1,"Gpid":-1}	{"TransferCode":"8754766","TransactionId":"8754766","Status":"Unknown","ErrorCode":"6","ErrorMessage":"Bet not found"}	Values should be: ErrorCode: 6
